Uniprot_A	Uniprot_B	Alt_A	Alt_B	Gene_A	Gene_B	pmid:method:quality
Q7L5N1	Q92905	10980	10987	COPS6	COPS5	18850735:0004:LC|11285227:0492:LC|12220626:0492:LC|21625211:0006:LC|19615732:0004:LC|19295130:0004:LC|20399188:0007:LC|22939629:0401:LC|11285227:0493:LC|25144743:0096:LC|22863883:0401:LC|21145461:0004:LC|21625211:0004:LC|11337588:0492:LC|15657099:0064:LC|18850735:0676:LC|12220626:0493:LC|11337588:0493:LC|19615732:0007:LC|19141280:0096:LC|25043011:0096:LC|25144743:0114:LC
Q7L5N1	Q96EF6	10980	115290	COPS6	FBXO17	19615732:0004:LC|21145461:0004:LC|19615732:0007:LC
Q7L5N1	Q96L50	10980	122769	COPS6	LRR1	19615732:0004:LC|21145461:0004:LC|19615732:0007:LC|19295130:0004:LC
Q7L5N1	Q96Q07	10980	114781	COPS6	BTBD9	19615732:0004:LC|21145461:0004:LC|19615732:0007:LC
Q7L5N1	Q96SW2	10980	51185	COPS6	CRBN	19615732:0004:LC|19615732:0007:LC|19295130:0004:LC
Q7L5N1	Q99627	10980	10920	COPS6	COPS8	11285227:0492:LC|21145461:0004:LC|19615732:0004:LC|11337588:0492:LC|19615732:0007:LC|19295130:0004:LC|9707402:0401:LC|22863883:0401:LC|22939629:0401:LC|25043011:0096:LC
Q7L5N1	Q9BT78	10980	51138	COPS6	COPS4	21145461:0004:LC|9707402:0492:LC|23086934:0401:LC|23086934:0004:LC|19615732:0004:LC|11337588:0492:LC|11285227:0492:LC|19615732:0007:LC|19295130:0004:LC|15657099:0064:LC|19141280:0096:LC|23086934:0096:LC|14647295:0492:LC|22863883:0401:LC|22939629:0401:LC|25043011:0096:LC
Q7L5N1	Q9BW61	10980	79016	COPS6	DDA1	19615732:0004:LC|21145461:0004:LC|19615732:0007:LC|19295130:0004:LC
Q7L5N1	Q9H0C5	10980	53339	COPS6	BTBD1	19615732:0004:LC|21145461:0004:LC|19615732:0007:LC
Q7L5N1	Q9H4M3	10980	93611	COPS6	FBXO44	19615732:0004:LC|21145461:0004:LC|19615732:0007:LC
Q7L5N1	Q9H9Q2	10980	64708	COPS6	COPS7B	19615732:0004:LC|22863883:0401:LC|19615732:0007:LC|19295130:0004:LC|21145461:0004:LC
Q7L5N1	Q9NXF7	10980	54876	COPS6	DCAF16	21145461:0004:LC|19295130:0004:LC
Q7L5N1	Q9NZJ0	10980	51514	COPS6	DTL	19615732:0004:LC|21145461:0004:LC|19615732:0007:LC|19295130:0004:LC
Q7L5N1	Q9P2G9	10980	57563	COPS6	KLHL8	19615732:0004:LC|21145461:0004:LC|19615732:0007:LC
Q7L5N1	Q9P2J3	10980	55958	COPS6	KLHL9	19615732:0004:LC|21145461:0004:LC|19615732:0007:LC
Q7L5N1	Q9P2K6	10980	57542	COPS6	KLHL42	19615732:0004:LC|21145461:0004:LC|19615732:0007:LC
Q7L5N1	Q9P2N7	10980	90293	COPS6	KLHL13	19615732:0004:LC|21145461:0004:LC|19615732:0007:LC
Q7L5N1	Q9UBW8	10980	50813	COPS6	COPS7A	17403899:0004:LC|21145461:0004:LC|23086934:0004:LC|19615732:0004:LC|10903862:0047:LC|19615732:0007:LC|19295130:0004:LC|19141280:0096:LC|23086934:0096:LC|22863883:0401:LC|25043011:0096:LC
Q7L5N1	Q9UK73	10980	10116	COPS6	FEM1B	19615732:0004:LC|21145461:0004:LC|19615732:0007:LC
Q7L5N1	Q9UNS2	10980	8533	COPS6	COPS3	20399188:0004:LC|24421388:0007:LC|21145461:0004:LC|24421388:0006:LC|16036220:0004:LC|19615732:0004:LC|11337588:0492:LC|19615732:0007:LC|19295130:0004:LC|11285227:0492:LC|20399188:0096:LC|22863883:0401:LC|22939629:0401:LC|25043011:0096:LC
Q7L5N1	Q9Y3I1	10980	25793	COPS6	FBXO7	19615732:0004:LC|21145461:0004:LC|19615732:0007:LC
Q7L5N1	Q9Y4B6	10980	9730	COPS6	VPRBP	19615732:0004:LC|18606781:0004:LC|21145461:0004:LC|19615732:0007:LC|19295130:0004:LC
Q7L5N1	V9HWF1	10980		COPS6	HEL-S-305	19615732:0004:LC|21145461:0004:LC
Q7L5Y6	Q86SX1	55070		DET1	Q86SX1	22939624:0004:HT
Q7L5Y6	Q9BW61	55070	79016	DET1	DDA1	17452440:0004:LC|19295130:0004:LC|17452440:0401:LC
Q7L622	Q86SX1	55632		G2E3	Q86SX1	22939624:0004:HT
Q7L804	Q9H4M9	22841	10938	RAB11FIP2	EHD1	20329706:0096:LC|16251358:0004:LC|16251358:0018:LC
Q7L9L4	Q9NRM7	92597	26524	MOB1B	LATS2	19919647:0096:LC|19739119:0007:LC|19739119:0004:LC|19919647:0004:LC|24255178:1313:LC|24255178:1314:LC|19739119:0096:LC
Q7L9L4	Q9Y2H1	92597	23012	MOB1B	STK38L	24366813:0007:LC|15067004:0428:LC|15067004:0004:LC|15657099:0064:LC|24255178:1313:LC|24255178:1314:LC
Q7LBR1	Q9UBP0	57132	6683	CHMP1B	SPAST	18997780:0114:LC|20719964:0018:LC|20719964:0096:LC
Q7RTQ2	Q9H0B6		64837	KNS2	KLC2	17332754:0493:LC|22863883:0401:LC|22939629:0401:LC
Q7RTQ2	Q9NSK0		89953	KNS2	KLC4	22863883:0401:LC|22939629:0401:LC
Q7RTQ2	V9HW29			KNS2	HEL-S-61	12475239:0096:LC|9624122:0004:LC|10491391:0004:LC|22863883:0401:LC|22939629:0401:LC
Q7Z2W4	Q92731	56829	2100	ZC3HAV1	ESR2	21182203:0004:HT|21182203:0029:HT
Q7Z3B3	Q9H7Z6	284058	84148	KANSL1	KAT8	21217699:0096:LC|16227571:0004:LC|19854137:0004:LC
Q7Z3D7	Q7Z3D7			DKFZP686E2459	DKFZP686E2459	22365833:0004:HT|22365833:0018:HT
Q7Z3D7	Q8IWZ8		57794	DKFZP686E2459	SUGP1	22365833:0004:HT|22365833:0018:HT
Q7Z3D7	Q92620		9785	DKFZP686E2459	DHX38	22365833:0004:HT|22365833:0018:HT
Q7Z3D7	Q92917		27238	DKFZP686E2459	GPKOW	22365833:0004:HT|22365833:0018:HT
Q7Z3D7	Q9UK43			DKFZP686E2459	CSA2	22365833:0004:HT|22365833:0018:HT
Q7Z3D7	Q9UMS4		27339	DKFZP686E2459	PRPF19	22365833:0004:HT|22365833:0018:HT
Q7Z3G2	Q96GY3		55957	DKFZP686L18142	LIN37	17671431:0004:LC|17531812:0004:LC
Q7Z3K3	V9HWG0	23126		POGZ	HEL25	20850016:0004:LC|20562864:0018:LC|20562864:0428:LC|20562864:0004:LC
Q7Z401	V9HW98	10260		DENND4A	HEL2	17979178:0004:LC|19608861:0004:LC
Q7Z401	V9HWD6	10260		DENND4A	HEL-S-1	24255178:0004:LC|17353931:0004:LC
Q7Z434	Q7Z434	57506	57506	MAVS	MAVS	19036819:0012:LC|19193783:0007:LC|19036819:0007:LC|19193783:0055:LC
Q7Z434	Q86WV6	57506	340061	MAVS	TMEM173	20019757:0007:LC|22000020:0006:LC|18818105:0007:LC|22911572:0007:LC|23542348:0007:LC|18724357:0007:LC|22911572:0663:LC|19416887:0007:LC|19416887:0006:LC|22844514:0007:LC|20080758:0006:LC
Q7Z434	Q8IWA4	57506	55669	MAVS	MFN1	20019757:0007:LC|20661427:0007:LC|20661427:0004:LC|20019757:0006:LC
Q7Z434	Q99942	57506	6048	MAVS	RNF5	19285439:0007:LC|20483786:0415:LC|20483786:0004:LC
Q7Z434	Q9BYX4	57506	64135	MAVS	IFIH1	19881509:0004:LC|21903422:0007:LC|22623778:0663:LC|16127453:0007:LC|22301138:0007:LC|16127453:0004:LC|16127453:0019:LC|19416887:0007:LC|17600090:0007:LC|21903422:0004:LC
Q7Z434	Q9NQC7	57506	1540	MAVS	CYLD	18467330:0007:LC|18636086:0007:LC
Q7Z434	Q9UL19	57506	5920	MAVS	RARRES3	21200404:0004:LC|21203974:0004:LC|19734229:0004:LC
Q7Z434	Q9Y6K9	57506	8517	MAVS	IKBKG	21903422:0006:LC|21903422:0096:LC|23028469:0004:LC|20161788:0004:LC|21903422:0004:LC
Q7Z434	V5V0K2	57506		MAVS	MITA	22908223:0004:LC|24622840:0004:LC
Q7Z4F3	Q9UBT1			Q7Z4F3	Q9UBT1	11563984:0004:LC|22230296:0055:LC|19595769:0004:LC|11563984:0096:LC
Q7Z4F3	V9HW80			Q7Z4F3	HEL-S-70	23335559:0428:LC|23335559:0004:LC|24089527:0096:LC|24089527:0004:LC
Q7Z4G9	V9HWD3			HBXBP	HEL117	21917589:0004:LC|21062743:0004:LC
Q7Z4H7	Q96CS2	54801	115106	HAUS6	HAUS1	20360068:0676:LC|19369198:0007:LC|19369198:0004:LC|23443559:0004:LC
Q7Z4H7	Q99871	54801	55559	HAUS6	HAUS7	19369198:0007:LC|19369198:0004:LC|20360068:0676:LC
Q7Z4H7	Q9BT25	54801	93323	HAUS6	HAUS8	25173975:0104:LC|19369198:0007:LC|20360068:0676:LC|19369198:0018:LC|19369198:0004:LC|25173975:0038:LC|25173975:0071:LC
Q7Z4H7	Q9H6D7	54801	54930	HAUS6	HAUS4	19369198:0007:LC|19369198:0004:LC|20360068:0676:LC
Q7Z4H7	Q9NVX0	54801	55142	HAUS6	HAUS2	20360068:0676:LC|19369198:0007:LC|19369198:0004:LC|23443559:0004:LC
Q7Z4I7	V9HWF0	55679		LIMS2	HEL-S-28	23455922:0004:LC|12167643:0004:LC
Q7Z4S6	Q9Y6D6	55605	10565	KIF21A	ARFGEF1	22084092:0006:LC|22084092:0007:LC|19020088:0071:LC|19020088:0006:LC|19020088:0007:LC|19020088:0663:LC
Q7Z4U5	Q9NUM4	404220	54664	C6ORF201	TMEM106B	25416956:0007:HT
Q7Z569	Q8IVT5	8315	8844	BRAP	KSR1	18332145:0004:LC|14724641:0007:LC|14724641:0019:LC
Q7Z5K2	Q7Z5K2	23063	23063	WAPAL	WAPAL	20360068:0676:LC|20360068:0004:LC|23776203:0114:LC
Q7Z5K2	Q8N3U4	23063	10735	WAPAL	STAG2	17113138:0006:LC|20360068:0004:LC|25173175:0096:LC|20360068:0676:LC|17112726:0006:LC|25173175:0007:LC
Q7Z5K2	Q9NTI5	23063	23047	WAPAL	PDS5B	20360068:0676:LC|17113138:0006:LC|20360068:0004:LC|17112726:0006:LC|17113138:0027:LC
Q7Z5K2	Q9UQE7	23063	9126	WAPAL	SMC3	17113138:0006:LC|20360068:0004:LC|17349791:0006:LC|20360068:0676:LC|21111234:0004:LC|17112726:0006:LC|17349791:0004:LC
Q7Z5Q5	Q9NS91	353497	56852	POLN	RAD18	16611994:0004:LC|22456510:0004:LC
Q7Z5R6	Q8IUH5	54518	23390	APBB1IP	ZDHHC17	24705354:0397:HT|24705354:0018:HT|24705354:0004:HT|24705354:0729:HT
Q7Z628	Q96QZ7	10276	9223	NET1	MAGI1	11350080:0004:LC|11350080:0493:LC|19586902:0004:LC|11350080:0492:LC|11350080:0018:LC
Q7Z656	Q9UHB7		27125	DKFZP779C185	AFF4	22483617:0004:LC|21729782:0004:LC
Q7Z698	Q8IUH5	200734	23390	SPRED2	ZDHHC17	24705354:0397:HT|24705354:0018:HT|24705354:0004:HT|24705354:0729:HT
Q7Z699	Q8IUH5	161742	23390	SPRED1	ZDHHC17	24705354:0397:HT|24705354:0018:HT|24705354:0004:HT|24705354:0729:HT
Q7Z6L1	Q9H1Y0	25851	9474	TECPR1	ATG5	22342342:0428:LC|20562859:0007:LC|22342342:0401:LC|21575909:0096:LC|20562859:0004:LC|22342342:0004:LC|21575909:0018:LC
Q7Z6M4	Q96CB9	130916	387338	MTERF4	NSUN4	22949673:0114:LC|23022348:0071:LC|23022348:0114:LC|23022348:0065:LC|22949673:0096:LC|22949673:0071:LC
Q7Z6Z7	Q93008	10075	8239	HUWE1	USP9X	20023629:0006:LC|21907705:0004:LC|20023629:0004:LC
Q7Z6Z7	Q93009	10075	7874	HUWE1	USP7	19615732:0004:LC|19615732:0007:LC|25147182:0004:LC
Q7Z6Z7	Q96CS3	10075	23197	HUWE1	FAF2	25147182:0004:LC|18775313:0004:LC|18775313:0007:LC
Q7Z6Z7	V9HW80	10075		HUWE1	HEL-S-70	23383273:0004:LC|25147182:0004:LC
Q7Z7A3	Q9BTM9	90353	81605	CTU1	URM1	19017811:0007:LC|19017811:0404:LC|21209336:0007:LC|19017811:0004:LC
Q7Z7C8	Q7Z7C8	129685	129685	TAF8	TAF8	14580349:0004:LC|17375202:0004:LC
