Uniprot_A	Uniprot_B	Alt_A	Alt_B	Gene_A	Gene_B	pmid:method:quality
A4D0P7	Q9P2F8		57568	ORC5L	SIPA1L2	21988832:0018:HT
A4D0P7	Q9UBD5		23595	ORC5L	ORC3	15232106:0089:HT|15232106:0008:HT
A4D1E9	Q08379	85865	2801	GTPBP10	GOLGA2	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A4D1E9	Q5JR59	85865	23281	GTPBP10	MTUS2	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A4D1E9	Q7Z6G3	85865	54550	GTPBP10	NECAB2	15657099:0064:LC|16189514:0018:HT
A4D1E9	Q8ND90	85865	9240	GTPBP10	PNMA1	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:0231:HT|25416956:1356:HT
A4D1I3	Q08379		2801	FLJ34048	GOLGA2	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A4D1I3	Q9UJX2		8697	FLJ34048	CDC23	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A4D1I7	O43809		11051	DNCI1	NUDT21	21900206:0018:HT
A4D1I7	O95251		11143	DNCI1	KAT7	21900206:0018:HT
A4D1I7	P04183		7083	DNCI1	TK1	21900206:0018:HT
A4D1I7	P09467		2203	DNCI1	FBP1	21900206:0018:HT
A4D1I7	P18754		1104	DNCI1	RCC1	21900206:0018:HT
A4D1I7	P20073		310	DNCI1	ANXA7	21900206:0018:HT
A4D1I7	P23508		4163	DNCI1	MCC	21900206:0018:HT
A4D1I7	P38936		1026	DNCI1	CDKN1A	21900206:0018:HT
A4D1I7	P47736		5909	DNCI1	RAP1GAP	21900206:0018:HT
A4D1I7	P50570		1785	DNCI1	DNM2	21900206:0018:HT
A4D1I7	Q13526		5300	DNCI1	PIN1	21900206:0018:HT
A4D1I7	Q14203		1639	DNCI1	DCTN1	11447312:0024:LC|21900206:0018:HT|15657099:0064:LC
A4D1I7	Q14451		2886	DNCI1	GRB7	21900206:0018:HT
A4D1I7	Q16637			DNCI1	SMN1;|SMN2	21900206:0018:HT
A4D1I7	Q7L7X3		57551	DNCI1	TAOK1	21900206:0018:HT
A4D1I7	Q8NFZ8		199731	DNCI1	CADM4	21900206:0018:HT
A4D1I7	Q96NL0		154661	DNCI1	RUNDC3B	21900206:0018:HT
A4D1I7	Q9BQ89		83541	DNCI1	FAM110A	21900206:0018:HT
A4D1I7	Q9H4H8		81610	DNCI1	FAM83D	21900206:0018:HT
A4D1I7	Q9H6R7		80304	DNCI1	C2ORF44	21900206:0018:HT
A4D1I7	Q9UJ70		55577	DNCI1	NAGK	21900206:0018:HT
A4D1P6	O00560	29062	6386	WDR91	SDCBP	16169070:0018:HT|16169070:0398:HT
A4D1P6	O95376	29062	10425	WDR91	ARIH2	16169070:0018:HT|16169070:0398:HT
A4D1P6	Q9UNK0	29062	9482	WDR91	STX8	16169070:0018:HT|16169070:0398:HT
A4D1U4	Q9Y6X0		26040	LCHN	SETBP1	25416956:0018:HT
A4D1U5	O00151		9124	FLJ10842	PDLIM1	16169070:0018:HT|15657099:0064:LC|16169070:0398:HT
A4D1U5	O95219		8723	FLJ10842	SNX4	16169070:0018:HT|15657099:0064:LC|16169070:0398:HT
A4D2D6	Q15811		6453	HRBL	ITSN1	22558309:0018:HT
A4FTV9	Q7Z3S9	8330	388677	HIST1H2AK	NOTCH2NL	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A4FTV9	Q92624	8330	10513	HIST1H2AK	APPBP2	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A4FTV9	Q9NYB0	8330	54386	HIST1H2AK	TERF2IP	21044950:0018:HT
A4FU01	O15198	10903	4093	MTMR11	SMAD9	15231748:0018:HT|15657099:0064:LC
A4FU71	O15116		27257	C3ORF60	LSM1	15231747:0018:HT
A4QPB2	P53350	91355	5347	LRP5L	PLK1	21900206:0018:HT
A4QPB2	P67870	91355	1460	LRP5L	CSNK2B	21900206:0018:HT
A4QPH2	Q92624	375133	10513	PI4KAP2	APPBP2	16189514:0398:HT|15657099:0064:LC|16189514:0018:HT
