Uniprot_A	Uniprot_B	Alt_A	Alt_B	Gene_A	Gene_B	pmid:method:quality
P23025	P27694	7507	6117	XPA	RPA1	9535929:0004:LC|8972858:0004:LC|7565690:0096:LC|19446504:0004:LC|7876167:0019:LC|7565690:0492:LC|7565690:0493:LC|7565690:0024:LC|7565690:0018:LC|7565690:0004:LC|12527904:0006:LC|7665601:0019:LC|15657099:0064:LC|20304803:0007:LC
P23025	P32780	7507	2965	XPA	GTF2H1	15657099:0064:LC|9698541:0492:LC|11259578:0004:LC
P23025	P78527	7507	5591	XPA	PRKDC	20304803:0007:LC|16540648:0415:LC|16540648:0492:LC
P23025	Q13535	7507	545	XPA	ATR	16540648:0492:LC|16540648:0493:LC|16540648:0415:LC|23178497:0004:LC|16540648:0004:LC
P23025	Q59FF6	7507		XPA	Q59FF6	8999876:0096:LC|20541997:0004:LC|8999876:0492:LC
P23025	Q9HCN4	7507	11321	XPA	GPN1	11058119:0018:LC|15657099:0064:LC
P23109	Q9UKX2	270	4620	AMPD1	MYH2	9730972:0493:LC|15657099:0064:LC
P23141	P23141	1066	1066	CES1	CES1	12725862:0114:LC|12679808:0114:LC|20051531:0114:LC|16081098:0114:LC|12679808:0492:LC|17407327:0114:LC|12725862:0492:LC|16962139:0114:LC
P23142	Q13485	2192	4089	FBLN1	SMAD4	15231748:0018:HT|15657099:0064:LC
P23193	P24928	6917	5430	TCEA1	POLR2A	20562857:0096:LC|20178742:0096:LC|23748380:0096:LC|9305922:0096:LC|16916636:0004:LC|20178742:0006:LC|17643375:0004:LC|15657099:0064:LC|9765293:0096:LC|20178742:0004:LC|12914699:0114:LC|12914699:0492:LC|22939629:0401:LC
P23193	P29083	6917	2960	TCEA1	GTF2E1	9305922:0492:LC|15657099:0064:LC|9305922:0096:LC|10454562:0401:LC
P23193	Q9Y5B0	6917	9150	TCEA1	CTDP1	9765293:0492:LC|15657099:0064:LC|9765293:0096:LC
P23229	P27701	3655	3732	ITGA6	CD82	8757325:0493:LC|15657099:0064:LC
P23229	P27824	3655	821	ITGA6	CANX	8163531:0492:LC|15657099:0064:LC|8163531:0493:LC
P23229	P62993	3655	2885	ITGA6	GRB2	7556090:0493:LC|15657099:0064:LC
P23229	Q15149	3655	5339	ITGA6	PLEC	10525545:0018:LC|12791251:0492:LC|12791251:0018:LC|10525545:0492:LC
P23229	Q9UMD9	3655	1308	ITGA6	COL17A1	11739652:0493:LC|11739652:0018:LC|9500991:0018:LC|15657099:0064:LC|9500991:0493:LC
P23246	P26599	654780	5725	SFPQ	PTBP1	11514619:0006:LC|8449401:0492:LC|8449401:0096:LC|10653975:0493:LC|10653975:0492:LC|17507659:0004:LC|15657099:0064:LC|10653975:0004:LC|8449401:0493:LC|15975576:0492:LC|10653975:0019:LC|15975576:0006:LC|15975576:0493:LC
P23246	P35637	654780	2521	SFPQ	FUS	25192599:0004:LC|15975576:0006:LC|15975576:0493:LC
P23246	Q14192	654780	2274	SFPQ	FHL2	11161712:0018:LC|15657099:0064:LC
P23246	Q15233	654780	4841	SFPQ	NONO	11259580:0096:LC|12403470:0492:LC|12403470:0493:LC|18042045:0096:LC|12403470:0004:LC|17452459:0096:LC|15590677:0091:LC|22939629:0401:LC|12403470:0018:LC|17507659:0004:LC|21988832:0018:HT|12403470:0096:LC|15657099:0064:LC
P23246	Q68DB7	654780		SFPQ	DKFZP781O1323	15231748:0018:HT|15657099:0064:LC
P23246	Q96ST3	654780	25942	SFPQ	SIN3A	11259580:0096:LC|19339282:0004:LC|11259580:0492:LC|11259580:0006:LC|11259580:0493:LC|17452459:0428:LC|21566083:0004:LC
P23246	Q9NQT4	654780	56915	SFPQ	EXOSC5	15231747:0018:HT|15657099:0064:LC
P23246	Q9UK76	654780	51155	SFPQ	HN1	16169070:0018:HT|15657099:0064:LC|16169070:0398:HT
P23258	P23258	7283	7283	TUBG1	TUBG1	21135143:0401:LC|18388201:0071:LC|18388201:0114:LC
P23258	P27986	7283	5295	TUBG1	PIK3R1	7592789:0024:LC|7592789:0493:LC|15657099:0064:LC
P23258	P38398	7283	672	TUBG1	BRCA1	24289923:0096:LC|9789027:0401:LC|11691781:0004:LC|15367667:0415:LC|9789027:0428:LC|11691781:0493:LC|9789027:0493:LC|22833046:0428:LC|11691781:0096:LC|9789027:0004:LC|15657099:0064:LC|22833046:0004:LC|22262852:0428:LC|11691781:0428:LC
P23258	P68363	7283	10376	TUBG1	TUBA1B	15657099:0064:LC|11082048:0492:LC
P23258	P68371	7283	10383	TUBG1	TUBB4B	14594945:0492:LC|23443559:0004:LC
P23258	Q96CW5	7283	10426	TUBG1	TUBGCP3	21135143:0004:LC|21135143:0401:LC|9566969:0493:LC|23443559:0004:LC|20360068:0676:LC
P23258	Q96L34	7283	57787	TUBG1	MARK4	14676191:0007:LC|14676191:0004:LC|14594945:0004:LC|14594945:0676:LC|14594945:0492:LC|14594945:0007:LC|14594945:0493:LC
P23258	Q9H0H5	7283	29127	TUBG1	RACGAP1	15657099:0064:LC|11942621:0493:LC|11942621:0024:LC
P23258	Q9NS23	7283	11186	TUBG1	RASSF1	14603253:0024:LC|14603253:0493:LC|14603253:0096:LC|15657099:0064:LC|14603253:0492:LC
P23258	Q9NV58	7283	25897	TUBG1	RNF19A	11237715:0024:LC|15657099:0064:LC|11237715:0493:LC
P23258	Q9UGJ1	7283	27229	TUBG1	TUBGCP4	10562286:0493:LC|20360068:0676:LC|21135143:0401:LC|23443559:0004:LC|21725292:0007:LC|22939629:0401:LC
P23276	P51811	3792	7504	KEL	XK	10556484:0493:LC|9647734:0493:LC|10556484:0024:LC|15657099:0064:LC
P23276	Q01844	3792	2130	KEL	EWSR1	16189514:0398:HT|15657099:0064:LC|16189514:0018:HT
P23280	P23280	765	765	CA6	CA6	22366092:0114:LC
P23280	P55899	765	2217	CA6	FCGRT	9439449:0492:LC|9439449:0024:LC|15657099:0064:LC
P23280	Q7Z3S9	765	388677	CA6	NOTCH2NL	25416956:1356:HT|25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|24722188:0018:LC
P23284	P23284	5479	5479	PPIB	PPIB	20801878:0114:LC
P23284	P50570	5479	1785	PPIB	DNM2	16169070:0018:HT|15657099:0064:LC|16169070:0398:HT
P23284	Q96EQ0	5479	54557	PPIB	SGTB	15657099:0064:LC|21516116:0018:HT
P23297	P23297	6271	6271	S100A1	S100A1	21296671:0114:LC|16189514:0398:HT|22989881:0114:LC|16189514:0492:HT|16169012:0492:LC|15171681:0018:LC|25416956:0397:HT|:0114:LC|16189514:0018:HT|25416956:0018:HT|15171681:0492:LC|16169012:0018:LC|23351007:0114:LC|21296671:0077:LC|10913138:0018:LC|9803314:0401:LC|15171681:0055:LC
P23297	P25815	6271	6286	S100A1	S100P	15171681:0107:LC|16189514:0398:HT|16189514:0493:HT|16189514:0492:HT|25416956:0231:HT|15171681:0018:LC|15171681:0493:LC|15171681:0055:LC|15171681:0492:LC|16189514:0018:HT|15171681:0663:LC|15657099:0064:LC
P23297	P26447	6271	6275	S100A1	S100A4	10753920:0493:LC|16189514:0398:HT|10753920:0045:LC|9926943:0492:LC|15608682:0493:LC|9926943:0493:LC|9926943:0024:LC|10753920:0096:LC|16189514:0018:HT|9926943:0018:LC|10753920:0047:LC|15657099:0064:LC|10753920:0004:LC|10753920:0018:LC|10869553:0018:LC|15608682:0492:LC|10869553:0492:LC|15608682:0018:LC|10753920:0492:LC|10869553:0493:LC
P23297	P26678	6271	5350	S100A1	PLN	12804600:0492:LC|15657099:0064:LC|12804600:0493:LC
P23297	P36871	6271	5236	S100A1	PGM1	8894274:0004:LC|8894274:0047:LC|15657099:0064:LC|8894274:0492:LC
P23297	Q15109	6271	177	S100A1	AGER	17726019:0107:LC|15657099:0064:LC|11007787:0493:LC
P23297	Q9GZT8	6271	60491	S100A1	NIF3L1	16189514:0398:HT|15657099:0064:LC|16189514:0018:HT
P23327	Q13061	3270	10345	HRC	TRDN	11504710:0096:LC|11741309:0493:LC|11741309:0492:LC|11504710:0492:LC|11504710:0493:LC|15657099:0064:LC|12480542:0493:LC|12480542:0492:LC
P23352	P34741		6383	KAL1	SDC2	8832397:0004:LC|8832397:0493:LC|15657099:0064:LC
P23368	P23368	4200	4200	ME2	ME2	10467136:0114:LC|12962632:0492:LC|10700286:0114:LC|12121650:0492:LC|10700286:0492:LC|12962632:0114:LC|10913357:0492:LC|10913357:0114:LC|12121650:0114:LC
P23381	P23381	7453	7453	WARS	WARS	14730354:0114:LC|16724112:0114:LC|14671330:0114:LC|17637340:0114:LC|18180246:0114:LC
P23381	P40926	7453	4191	WARS	MDH2	16169070:0018:HT|15657099:0064:LC|16169070:0398:HT
P23396	P32969	6188		RPS3	RPL9;|RPL9P7;|RPL9P8;|RPL9P9	16169070:0018:HT|15657099:0064:LC|16169070:0398:HT
P23396	Q04206	6188	5970	RPS3	RELA	18045535:0676:LC|18045535:0004:LC|14743216:0007:LC|23188828:0428:LC|18045535:0006:LC|18045535:0007:LC|18045535:0493:LC|18045535:0096:LC|14743216:0676:LC|15657099:0064:LC|24457201:0007:LC|23188828:0004:LC
P23396	Q53Z07	6188	6133	RPS3	RPL9	16169070:0018:HT|22939629:0401:LC
P23409	P41134	4618	3397	MYF6	ID1	9242638:0018:LC|9242638:0493:LC|15657099:0064:LC|9242638:0004:LC
P23409	P50461	4618	8048	MYF6	CSRP3	9234731:0024:LC|9234731:0096:LC|9234731:0493:LC|15657099:0064:LC|9234731:0492:LC
P23409	P62158	4618		MYF6	CALM1;|CALM2;|CALM3	10757985:0024:LC|15657099:0064:LC|10757985:0492:LC
P23409	Q02363	4618	3398	MYF6	ID2	9242638:0018:LC|9242638:0493:LC|15657099:0064:LC|9242638:0004:LC
P23415	P23415	2741	2741	GLRA1	GLRA1	23994010:0077:LC|20023641:0276:LC|23994010:0020:LC|23994010:0114:LC
P23416	P46379	2742	7917	GLRA2	BAG6	16169070:0018:HT|15657099:0064:LC|16169070:0398:HT
P23416	Q9NPR9	2742	56927	GLRA2	GPR108	16169070:0018:HT|15657099:0064:LC|16169070:0398:HT
P23434	Q05516	2653	7704	GCSH	ZBTB16	16169070:0018:HT|15657099:0064:LC|16169070:0398:HT
P23434	Q13287	2653	9111	GCSH	NMI	16189514:0398:HT|25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|16189514:0018:HT|25416956:1356:HT|15657099:0064:LC
P23435	Q6UW01	869	643866	CBLN1	CBLN3	17030622:0018:LC|17030622:0493:LC|10964938:0018:LC|10964938:0493:LC
P23443	P23443	6198	6198	RPS6KB1	RPS6KB1	19864428:0114:LC
P23443	P28482	6198	5594	RPS6KB1	MAPK1	12054624:0493:LC|11279232:0492:LC|12054624:0492:LC|11279232:0493:LC
P23443	P31749	6198	207	RPS6KB1	AKT1	11438723:0492:LC|11438723:0011:LC|25241761:0813:LC|15657099:0064:LC|15149849:0401:LC
P23443	P42345	6198	2475	RPS6KB1	MTOR	12604610:0493:LC|22544753:0415:LC|12604610:0492:LC|15905173:0096:LC|18505677:0415:LC|11914378:0492:LC|15905173:0004:LC|10567431:0096:LC|12718876:0004:LC|15899889:0004:LC|9465032:0096:LC|16922504:0415:LC|17386266:0415:LC|11914378:0096:LC|12150925:0004:LC|11279232:0493:LC|10971657:0004:LC|11914378:0493:LC|15854902:0096:LC|15066126:0415:LC|15760907:0004:LC|15809305:0096:LC|15896331:0096:LC|14679009:0004:LC|16183647:0415:LC|12604610:0415:LC|11279232:0492:LC|12150926:0004:LC|15760907:0007:LC|12604610:0096:LC|12718876:0415:LC
P23443	P45983	6198	5599	RPS6KB1	MAPK8	11279232:0492:LC|21988832:0397:HT|11279232:0493:LC|23816567:0415:LC|23816567:0004:LC|21988832:0018:HT
P23443	P60953	6198	998	RPS6KB1	CDC42	11438723:0492:LC|11438723:0011:LC|11438723:0024:LC|15657099:0064:LC
P23443	P62753	6198	6194	RPS6KB1	RPS6	17693255:0415:LC|16810323:0492:LC|21460630:0415:LC|11438723:0492:LC
P23443	P67775	6198	5515	RPS6KB1	PPP2CA	11438723:0493:LC|16109716:0492:LC|16109716:0493:LC|16899564:0493:LC|10200280:0492:LC|10200280:0493:LC|11438723:0492:LC|16899564:0492:LC
P23443	Q09161	6198	4686	RPS6KB1	NCBP1	10973943:0493:LC|18423201:0004:LC|18423201:0007:LC
P23443	Q15118	6198	5163	RPS6KB1	PDK1	17110931:0424:LC|11279232:0492:LC|11733037:0096:LC|11279232:0493:LC|16286006:0007:LC
